Symbol,Company Name,Industry,Sector
JUBLINGREA,Jubilant Ingrevia Limited,Specialty Chemicals,Unknown
JUBLPHARMA,Jubilant Pharmova Limited,Pharmaceuticals,Unknown
JWL,Jupiter Wagons Limited,Railway Wagons,Unknown
JYOTICNC,Jyoti CNC Automation Limited,Industrial Products,Unknown
KAJARIACER,Kajaria Ceramics Limited,Ceramics,Unknown
KALYANKJIL,Kalyan Jewellers India Limited,Gems Jewellery And Watches,Unknown
KARURVYSYA,Karur Vysya Bank Limited,Private Sector Bank,Unknown
KAYNES,Kaynes Technology India Limited,Industrial Products,Unknown
KEC,KEC International Limited,Civil Construction,Unknown
KEI,KEI Industries Limited,Cables - Electricals,Unknown
KFINTECH,Kfin Technologies Limited,Depositories Clearing Houses and Other Intermediaries,Unknown
KIMS,Krishna Institute of Medical Sciences Limited,Hospital,Unknown
KIRLOSENG,Kirloskar Oil Engines Limited,Compressors Pumps & Diesel Engines,Unknown
KOTAKBANK,Kotak Mahindra Bank Limited,Private Sector Bank,Unknown
KPIL,Kalpataru Projects International Limited,Civil Construction,Unknown
KPITTECH,KPIT Technologies Limited,Computers - Software & Consulting,Unknown
KPRMILL,K.P.R. Mill Limited,Other Textile Products,Unknown
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare Service Provider,Unknown
LATENTVIEW,Latent View Analytics Limited,Computers - Software & Consulting,Unknown
LAURUSLABS,Laurus Labs Limited,Pharmaceuticals,Unknown
LEMONTREE,Lemon Tree Hotels Limited,Hotels & Resorts,Unknown
LENSKART,Lenskart Solutions Limited,Speciality Retail,Unknown
LGEINDIA,LG Electronics India Limited,Household Appliances,Unknown
LICHSGFIN,LIC Housing Finance Limited,Housing Finance Company,Unknown
LICI,Life Insurance Corporation Of India,Life Insurance,Unknown
LINDEINDIA,Linde India Limited,Industrial Gases,Unknown
LLOYDSME,Lloyds Metals And Energy Limited,Industrial Minerals,Unknown
LODHA,Lodha Developers Limited,Residential Commercial Projects,Unknown
LT,Larsen & Toubro Limited,Civil Construction,Unknown
LTF,L&T Finance Limited,Investment Company,Unknown
LTFOODS,LT Foods Limited,Other Agricultural Products,Unknown
LTM,LTM Limited,Computers - Software & Consulting,Unknown
LTTS,L&T Technology Services Limited,IT Enabled Services,Unknown
LUPIN,Lupin Limited,Pharmaceuticals,Unknown
M&M,Mahindra & Mahindra Limited,Passenger Cars & Utility Vehicles,Unknown
M&MFIN,Mahindra & Mahindra Financial Services Limited,Non Banking Financial Company (NBFC),Unknown
MAHABANK,Bank of Maharashtra,Public Sector Bank,Unknown
MANAPPURAM,Manappuram Finance Limited,Non Banking Financial Company (NBFC),Unknown
MANKIND,Mankind Pharma Limited,Pharmaceuticals,Unknown
MAPMYINDIA,C.E. Info Systems Limited,Software Products,Unknown
MARICO,Marico Limited,Edible Oil,Unknown
MARUTI,Maruti Suzuki India Limited,Passenger Cars & Utility Vehicles,Unknown
MAXHEALTH,Max Healthcare Institute Limited,Hospital,Unknown
MAZDOCK,Mazagon Dock Shipbuilders Limited,Ship Building & Allied Services,Unknown
MCX,Multi Commodity Exchange of India Limited,Exchange and Data Platform,Unknown
MEDANTA,Global Health Limited,Hospital,Unknown
MEESHO,Meesho Limited,E-Retail/ E-Commerce,Unknown
MFSL,Max Financial Services Limited,Life Insurance,Unknown
MGL,Mahanagar Gas Limited,LPG/CNG/PNG/LNG Supplier,Unknown
MINDACORP,Minda Corporation Limited,Auto Components & Equipments,Unknown
MMTC,MMTC Limited,Trading & Distributors,Unknown
MOTHERSON,Samvardhana Motherson International Limited,Auto Components & Equipments,Unknown
MOTILALOFS,Motilal Oswal Financial Services Limited,Stockbroking & Allied,Unknown
MPHASIS,MphasiS Limited,Computers - Software & Consulting,Unknown
MRF,MRF Limited,Tyres & Rubber Products,Unknown
MRPL,Mangalore Refinery and Petrochemicals Limited,Refineries & Marketing,Unknown
MSUMI,Motherson Sumi Wiring India Limited,Auto Components & Equipments,Unknown
MUTHOOTFIN,Muthoot Finance Limited,Non Banking Financial Company (NBFC),Unknown
NAM-INDIA,Nippon Life India Asset Management Limited,Asset Management Company,Unknown
NATCOPHARM,Natco Pharma Limited,Pharmaceuticals,Unknown
NATIONALUM,National Aluminium Company Limited,Aluminium,Unknown
